dataset,comparison,comparison_label,main_model,comparator,metric,metric_label,n_pairs,main_mean,main_std,main_median,main_q1,main_q3,comparator_mean,comparator_std,comparator_median,comparator_q1,comparator_q3,mean_difference,median_difference,difference_q1,difference_q3,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p_raw,wilcoxon_p_holm,bootstrap_repetitions,random_seed
Internal,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_dice,Tumor Dice,23,0.7589612930076884,0.19505490531972902,0.8025137187517322,0.7116694760383362,0.8763849634754792,0.7600085053164969,0.1736480833025444,0.8026803225103508,0.705828232709826,0.8760784250919749,-0.0010472123088084767,0.0014546864971645146,-0.0031035860164936313,0.012691534199085641,-0.019574155324800026,0.013075373557820708,0.3765220642089844,0.7530441284179688,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_recall,Tumor Recall,23,0.7323044920125173,0.2206274010781018,0.8261191268960414,0.6746935421599134,0.8852844574971015,0.7334088921778962,0.20889738371997726,0.8298052497883149,0.6644645953664663,0.8822820140880212,-0.0011044001653789345,0.0016934801016088574,-0.004098629314822633,0.008968951918557067,-0.01600703044608565,0.01212266478286585,0.6148113070366257,1.0,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,tumor_precision,Tumor Precision,23,0.8609855176275453,0.11902399858503723,0.8983125702475443,0.8076951747181784,0.9453528467012168,0.8481041586650945,0.1320307550668351,0.8866156293190645,0.8172268676824659,0.9435227747705675,0.012881358962450573,-0.0029099467238317134,-0.0083680080118691,0.014919326729714355,-0.0014860450259853294,0.031279777792631656,0.7090141773223877,0.7090141773223877,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt,完整组合 vs 原始骨干,MedNeXt_MLA_MoE,MedNeXt,liver_dice,Liver Dice,26,0.9534916705169987,0.050656966104165674,0.964963633229184,0.9519161707899166,0.9773260191196934,0.9521297428843847,0.05113879592108126,0.9658008568882004,0.9520520969141034,0.9765074658107642,0.0013619276326139506,0.0005848647983886512,-0.00041688639655856896,0.0013058552725254968,0.00016792675028473228,0.003038814658339766,0.049346864223480225,0.09869372844696045,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_dice,Tumor Dice,23,0.7589612930076884,0.19505490531972902,0.8025137187517322,0.7116694760383362,0.8763849634754792,0.7499478248036417,0.20218035589707692,0.8155724526261839,0.7020587598712797,0.8678563354955712,0.009013468204046696,0.004480266310336711,-0.0032626553462142827,0.015485237505265037,0.0009946578692632642,0.01812655681451141,0.09175300598144531,0.27525901794433594,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_recall,Tumor Recall,23,0.7323044920125173,0.2206274010781018,0.8261191268960414,0.6746935421599134,0.8852844574971015,0.7302169729832191,0.21927085868747354,0.813011456628478,0.6709725935841775,0.8899978104039944,0.0020875190292983102,0.0,-0.006791820286156547,0.016446294181239274,-0.005478664927421501,0.00932936688709623,0.5057014407169704,1.0,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,tumor_precision,Tumor Precision,23,0.8609855176275453,0.11902399858503723,0.8983125702475443,0.8076951747181784,0.9453528467012168,0.7986147205438049,0.22275050550182598,0.8564312862068009,0.780973228252012,0.9423882641907351,0.06237079708374044,0.0019927773888752665,-0.007466858642984686,0.018026046246294447,0.0012064505707209685,0.15889303445488995,0.28614330291748047,0.5722866058349609,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt_MHA_MoE,固定 MoE：MLA vs MHA,MedNeXt_MLA_MoE,MedNeXt_MHA_MoE,liver_dice,Liver Dice,26,0.9534916705169987,0.050656966104165674,0.964963633229184,0.9519161707899166,0.9773260191196934,0.9517417950750393,0.051327833626421335,0.9652980927458051,0.9513988719700136,0.9770871933512423,0.0017498754419595108,0.0006946694845116896,-5.889557717089766e-05,0.002024815967097915,0.000613085097910274,0.0033006556427734703,0.0032291412353515625,0.009687423706054688,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_dice,Tumor Dice,23,0.7589612930076884,0.19505490531972902,0.8025137187517322,0.7116694760383362,0.8763849634754792,0.7534763067857281,0.20046376192171553,0.8076791498465539,0.7235087386299413,0.863908263780256,0.005484986221960459,-0.002970229197041707,-0.010213703321323597,0.009039894089203637,-0.008632430983418914,0.021438705672678207,1.0,1.0,10000,20260727
Internal,MedNeXt_MLA_MoE vs MedNeXt_MLA,固定 MLA：MoE vs MLP,MedNeXt_MLA_MoE,MedNeXt_MLA,tumor_recall,Tumor Recall,23,0.7323044920125173,0.2206274010781018,0.8261191268960414,0.6746935421599134,0.8852844574971015,0.7577206582202681,0.22114801088514696,0.8204911092294666,0.7093495357712989,0.9012091147511534,-0.025416166207750866,-0.016319972940977534,-0.0307299259981878,-0.010116618128245769,-0.037865366607895794,-0.014941995215885455,2.6226043701171875e-05,7.867813110351562e-05,10000,20260727
